timestamp_utc,motor,direction,ticks,temperature
2026-02-05T08:23:16Z,1,opening,5638,-1.5
2026-02-05T08:46:26Z,2,closing,5801,-1.3
2026-02-05T08:46:36Z,1,closing,6201,-1.3
2026-02-05T09:09:27Z,2,opening,5306,-1.1
2026-02-05T09:09:36Z,1,opening,5672,-1.1
2026-02-05T09:28:45Z,2,closing,5767,-0.6
2026-02-05T09:28:55Z,1,closing,6177,-0.6
2026-02-05T09:55:46Z,2,opening,5299,-0.9
2026-02-05T09:55:56Z,1,opening,5669,-0.9
2026-02-05T10:25:06Z,2,closing,5827,-0.7
2026-02-05T10:25:16Z,1,closing,6225,-0.7
2026-02-05T10:42:06Z,2,opening,5297,-0.7
2026-02-05T11:11:26Z,2,closing,5835,-0.5
2026-02-05T11:11:36Z,1,closing,6229,-0.4
2026-02-05T11:52:27Z,2,opening,5336,0.0
2026-02-05T11:52:36Z,1,opening,5724,0.0
2026-02-05T12:06:43Z,2,closing,5750,0.2
2026-02-05T12:06:54Z,1,closing,6171,0.2
2026-02-05T12:24:44Z,2,opening,5252,0.2
2026-02-05T12:24:53Z,1,opening,5630,0.2
2026-02-05T12:44:04Z,2,closing,5744,0.4
2026-02-05T12:44:14Z,1,closing,6160,0.4
2026-02-05T12:57:04Z,2,opening,5215,0.5
2026-02-05T12:57:13Z,1,opening,5582,0.5
2026-02-05T13:22:25Z,2,closing,5729,1.4
2026-02-05T13:22:35Z,1,closing,6145,1.4
2026-02-05T13:37:25Z,2,opening,5210,0.8
2026-02-05T13:37:34Z,1,opening,5585,0.8
2026-02-05T14:15:47Z,2,closing,5807,0.7
2026-02-05T14:15:57Z,1,closing,6213,0.7
2026-02-05T14:35:48Z,2,opening,5273,0.7
2026-02-05T14:35:57Z,1,opening,5647,0.7
2026-02-05T15:16:10Z,2,closing,5838,0.5
2026-02-05T15:16:20Z,1,closing,6244,0.5
2026-02-05T15:57:10Z,2,opening,5335,0.7
2026-02-05T15:57:20Z,1,opening,5719,0.7
2026-02-05T16:12:27Z,2,closing,5746,0.7
2026-02-05T16:12:37Z,1,closing,6156,0.7
2026-02-05T16:23:27Z,2,opening,5223,0.5
2026-02-05T16:23:37Z,1,opening,5594,0.5
2026-02-05T16:48:47Z,2,closing,5748,0.6
2026-02-05T16:48:57Z,1,closing,6133,0.6
2026-02-05T17:21:48Z,2,opening,5289,0.3
2026-02-05T17:21:58Z,1,opening,5668,0.3
2026-02-05T17:48:08Z,2,closing,5782,0.2
2026-02-05T17:48:18Z,1,closing,6191,0.2
2026-02-05T17:55:09Z,2,opening,5219,0.2
2026-02-05T17:55:18Z,1,opening,5582,0.2
2026-02-05T18:30:33Z,2,closing,5816,0.3
2026-02-05T18:30:42Z,1,closing,6213,0.3
2026-02-05T18:44:33Z,2,opening,5271,0.3
2026-02-05T18:44:41Z,1,opening,5634,0.3
2026-02-05T19:01:51Z,2,closing,5756,0.2
2026-02-05T19:02:01Z,1,closing,6130,0.2
2026-02-05T19:38:53Z,2,opening,5310,0.2
2026-02-05T19:39:03Z,1,opening,5687,0.2
2026-02-05T19:59:12Z,2,closing,5773,0.3
2026-02-05T19:59:21Z,1,closing,6178,0.3
2026-02-05T20:17:12Z,2,opening,5270,0.2
2026-02-05T20:17:21Z,1,opening,5638,0.2
2026-02-05T22:01:38Z,2,closing,5951,0.4
2026-02-05T22:01:48Z,1,closing,6365,0.4
2026-02-06T08:11:46Z,2,opening,5447,2.3
2026-02-06T08:11:56Z,1,opening,5872,2.3
2026-02-06T09:52:12Z,2,closing,5859,2.6
2026-02-06T09:52:23Z,1,closing,6310,2.6
2026-02-06T10:40:13Z,2,opening,5329,3.0
2026-02-06T10:40:23Z,1,opening,5741,3.0
2026-02-06T10:50:41Z,2,closing,5688,3.3
2026-02-06T10:50:51Z,1,closing,6113,3.3
2026-02-06T10:55:27Z,2,opening,5127,3.3
2026-02-06T10:55:36Z,1,opening,5511,3.3
2026-02-06T11:01:47Z,2,closing,5551,3.4
2026-02-06T11:01:49Z,1,closing,5927,3.4
2026-02-06T11:15:44Z,2,opening,5094,3.3
2026-02-06T11:15:54Z,1,opening,5475,3.3
2026-02-06T12:07:08Z,2,closing,5708,3.9
